product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_content,img_link,product_link
B0B9XLX8VR,VU 139 cm (55 inches,Electronics|HomeTheat,"$37,999","$65,000",42%,4.3,"3,587",Resolution: 4K Ultra,AHY6AK5LXB,"UtdBuzz,Mu",R2G4T57OLX,",Screen quality is good.It's been a month I bought",https://m.media-amazon.com/images/I/41pdZIhY+gL._S,https://www.amazon.in/VU-inches-GloLED-Google-55Gl
B08Y5KXR6Z,PTron Solero T241 2.,Computers&Accessories,$99,$800,88%,3.9,"24,871",Solero T241 data and,AEQ2YMXSZW,"Jayesh,Raj",R7S8ANNSDP,"It's a good product.,Like,Very good item strong an",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Solero-T241-Charging-480Mbps
B09F6VHQXB,Croma 80 cm (32 Inch,Electronics|HomeTheat,"$7,390","$20,000",63%,4.1,"2,581",Resolution: HD Ready,AFCMYWUZMO,"Ankit,Rish",RTFGWAX83A,"Middle class family ke liye kafi achha he, ameer l",https://m.media-amazon.com/images/I/41fruBt99gL._S,https://www.amazon.in/Croma-Inches-Ready-CREL7369-
B0974G5Q2Y,"boAt Laptop, Smartph",Computers&Accessories,$273.10,$999,73%,4.3,"20,850",2 meter special reve,AFA332YHUP,"GHOST,Amaz",R1G4I5FLAH,"One amazing cable for 300 bucks,Ok with charging. ",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/boAt-Type-c-A400-Cable-Carbo
B09YL9SN9B,LG 80 cm (32 inches),Electronics|HomeTheat,"$15,990","$23,990",33%,4.3,"1,035",Resolution: HD Ready,AE4KODYP3M,"Rishi V,Pl",R2CS3O3RBO,"Delivered in time. Package was in good condition, ",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/LG-inches-Ready-32LQ576BPSA-
B09RX1FK54,boAt Type C A750 Str,Computers&Accessories,$399,$999,60%,4.1,"1,780",The boAt Type C A750,AFJVYK4FXV,livin sebi,RMEKYV7XWT,Yeap this cable support 65w fast charging tested o,https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/boAt-A750-Resistant-Tangle-f
B09TT6BFDX,Cotbolt Silicone Pro,Electronics|HomeTheat,$399,"$1,999",80%,4.5,505,Silicone protective ,AG47CSNDLD,"ravi,Raju,",R175A66P22,"Good product,Good,Nice product, fits exactly.,Good",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Cotbolt-Silicone-Protective-
B09KH58JZR,Portronics Konnect L,Computers&Accessories,$210,$399,47%,4.1,"1,717",[CHARGE & SYNC FUNCT,AGNRJFR7GT,Rathod Lak,R306AVQBBW,It's awesome product. Fast mobile charging cable. ,https://m.media-amazon.com/images/I/21rxGo3S7FL._S,https://www.amazon.in/Portronics-Konnect-POR-1403-
B09DDCQFMT,Electvision Remote C,Electronics|HomeTheat,"$1,299","$1,999",35%,3.6,590,*Please match your p,AFYFQI7B55,Anand Tiwa,R2OMPDR9UR,Sometimes the remote gets disconnected with the de,https://m.media-amazon.com/images/I/31sBb-2L8KL._S,https://www.amazon.in/Electvision-Remote-Control-C
B08RP2L2NL,King Shine Multi Ret,Computers&Accessories,$347,$999,65%,3.5,"1,121",One for All: Charge ,AEZDBVRL3E,PARVEJ MAL,R1B1J43587,"Slow charging, charging speed is not fast,Not happ",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Retractable-Multiple-Chargin
